0, 992, 891, 50, 452, 153, 899, 635, 437, 807, 431, 438, 701, 880, 690, 638, 289, 636, 993, 844, 67, 89, 713, 79, 951
391, 0, 400, 664, 33, 46, 491, 442, 894, 734, 104, 904, 702, 29, 323, 556, 911, 823, 531, 475, 246, 360, 328, 236, 80
421, 725, 0, 710, 551, 888, 102, 129, 342, 515, 589, 260, 9, 211, 947, 58, 986, 172, 337, 759, 180, 54, 451, 828, 926
216, 306, 861, 0, 305, 878, 761, 23, 295, 776, 907, 104, 111, 686, 964, 33, 653, 801, 108, 262, 723, 141, 874, 402, 892
886, 411, 826, 968, 0, 446, 844, 627, 783, 730, 615, 524, 794, 29, 38, 931, 38, 739, 175, 11, 458, 33, 741, 638, 836
529, 988, 404, 287, 875, 0, 78, 34, 878, 75, 171, 252, 821, 62, 101, 527, 549, 633, 660, 564, 964, 9, 5, 934, 648
848, 693, 94, 921, 129, 151, 0, 753, 697, 272, 199, 103, 259, 159, 668, 302, 762, 124, 799, 342, 49, 204, 420, 366, 995
473, 772, 140, 476, 921, 199, 927, 0, 421, 374, 84, 903, 677, 274, 139, 85, 397, 272, 781, 144, 851, 202, 112, 635, 747
897, 285, 860, 396, 410, 737, 975, 162, 0, 156, 851, 919, 289, 600, 342, 252, 617, 963, 873, 304, 246, 179, 855, 160, 851
626, 820, 319, 396, 357, 666, 781, 61, 548, 0, 74, 84, 864, 50, 878, 929, 109, 3, 473, 778, 8, 880, 577, 402, 380
221, 271, 910, 970, 708, 84, 155, 918, 103, 344, 0, 518, 451, 433, 314, 130, 359, 593, 959, 289, 646, 964, 357, 167, 945
734, 4, 599, 398, 269, 442, 598, 68, 287, 373, 187, 0, 698, 684, 870, 290, 527, 944, 234, 223, 300, 144, 722, 641, 678
341, 402, 953, 361, 243, 424, 791, 916, 839, 545, 506, 189, 0, 237, 270, 597, 783, 587, 532, 575, 7, 431, 137, 625, 553
312, 629, 597, 471, 454, 594, 365, 825, 984, 476, 366, 284, 82, 0, 657, 979, 854, 830, 44, 830, 535, 846, 3, 347, 300
733, 663, 768, 238, 713, 276, 514, 920, 752, 872, 213, 629, 86, 403, 0, 452, 993, 306, 537, 391, 237, 91, 558, 541, 498
433, 963, 291, 894, 192, 481, 671, 178, 821, 791, 588, 309, 80, 386, 966, 0, 813, 73, 485, 840, 92, 854, 90, 648, 912
845, 705, 752, 606, 391, 552, 201, 894, 431, 629, 583, 518, 516, 380, 95, 559, 0, 839, 948, 72, 533, 426, 511, 39, 801
730, 615, 776, 12, 614, 875, 352, 564, 938, 573, 964, 407, 780, 705, 174, 187, 521, 0, 155, 80, 208, 878, 58, 42, 438
804, 833, 666, 486, 777, 858, 780, 787, 274, 681, 516, 267, 796, 444, 527, 954, 266, 456, 0, 784, 519, 695, 612, 793, 65
211, 240, 937, 219, 890, 853, 485, 37, 533, 326, 166, 12, 92, 497, 657, 949, 611, 40, 754, 0, 611, 449, 626, 548, 473
46, 617, 996, 760, 765, 70, 679, 79, 673, 672, 157, 920, 926, 876, 78, 982, 652, 137, 949, 742, 0, 210, 346, 600, 873
640, 491, 176, 810, 621, 716, 730, 569, 522, 730, 858, 117, 982, 139, 642, 846, 878, 136, 744, 558, 567, 0, 197, 163, 707
237, 284, 169, 177, 1, 229, 613, 652, 812, 116, 683, 157, 71, 523, 137, 806, 795, 576, 582, 371, 415, 534, 0, 123, 53
207, 66, 126, 331, 546, 704, 178, 716, 282, 123, 867, 129, 394, 708, 617, 866, 915, 43, 789, 966, 832, 657, 915, 0, 42
694, 250, 170, 691, 952, 993, 927, 170, 382, 223, 561, 784, 86, 440, 39, 894, 565, 928, 530, 28, 337, 638, 938, 567, 0
